110100001	r

110100010	r 
110100011	ra
110100100	rc
110100101	rd
110100110	re
110100111	rg
110101000	ri
110101001	rk
110101010	rl
110101011	rm
110101100	rn
110101101	ro
110101110	rp
110101111	rr
110110000	rs
110110001	rt
110110010	rv
110110011	rw
110110100	ry
110110101	s

110110110	s 
110110111	s!
110111000	s)
110111001	s,
110111010	s-
110111011	s.
110111100	s/
110111101	s:
110111110	s;
110111111	s?
111000000	sI
111000001	sL
111000010	sa
111000011	sb
111000100	sc
111000101	sd
111000110	se
111000111	sf
111001000	sg
111001001	sh
111001010	si
111001011	sk
111001100	sl
111001101	sm
111001110	sn
111001111	so
111010000	sp
111010001	sq
111010010	sr
111010011	ss
111010100	st
111010101	su
111010110	sw
111010111	sy
111011000	t

111011001	t 
111011010	t!
111011011	t)
111011100	t,
111011101	t-
111011110	t.
111011111	t1
111100000	t2
111100001	t5
111100010	t:
111100011	t;
111100100	t?
111100101	tA
111100110	tH
111100111	tI
111101000	tJ
111101001	t]
111101010	t_
111101011	ta
111101100	tb
111101101	tc
111101110	td
111101111	te
111110000	tf
111110001	tg
111110010	th
111110011	ti
111110100	tl
111110101	tm
111110110	tn
111110111	to
111111000	tp
111111001	tr
111111010	ts
111111011	tt
111111100	tu
111111101	tw
111111110	tx
111111111	ty
